Designator,Mid X,Mid Y,Rotation,Layer
3V3,29.0694,91.8524,180.0,top
BT1,22.5602,27.14,90.0,bottom
C1,13.374001,50.760002,270.0,top
C10,34.2764,18.5226,0.0,top
C11,4.7108,98.55,270.0,top
C12,31.33,31.85,0.0,top
C2,15.914001,51.100001,270.0,top
C3,21.924001,48.52,90.0,top
C4,24.472,48.960001,90.0,top
C5,25.0,86.62,0.0,top
C6,21.3586,22.2234,0.0,top
D1,22.694,64.788,0.0,top
D2,20.408,68.586,0.0,top
D3,17.36,68.586,180.0,top
D4,2.2724,17.4812,270.0,top
D5,15.6836,32.1116,270.0,top
D6,14.2612,64.9284,0.0,top
FID1,12.788,96.907,0.0,top
FID2,35.09,2.9,0.0,top
FID3,2.89,2.9,0.0,top
GND1,28.8662,97.796,0.0,top
J1,22.567,89.6026,180.0,top
J2,35.8766,97.7452,0.0,top
J3,18.98,77.21,180.0,top
J4,6.662,79.4275,270.0,top
J5,1.7644,32.0862,90.0,top
J6,6.7428,18.792,0.0,top
J7,30.8728,8.642,180.0,top
R1,26.6056,35.1596,90.0,top
R10,11.3656,45.3196,270.0,top
R11,14.4136,35.1596,90.0,top
R12,24.5736,9.912,180.0,bottom
R13,35.14,79.508,90.0,bottom
R14,24.5736,11.8932,180.0,bottom
R15,5.2696,45.3196,270.0,top
R16,2.2216,45.3196,270.0,top
R2,23.5576,35.1596,90.0,top
R3,20.5096,35.1596,90.0,top
R4,29.6536,35.1596,90.0,top
R5,18.767801,25.3476,0.0,top
R6,17.4616,35.1596,90.0,top
R7,28.92,28.41,180.0,top
R8,1.71,88.480001,90.0,top
R9,8.3176,45.3196,270.0,top
SW1,21.261,60.914,270.0,top
SW2,1.96,21.91,90.0,top
SW3,7.49,54.5,90.0,top
SW4,30.532,60.914,270.0,top
SW5,36.08,28.7509,270.0,top
SW6,26.388,74.71,180.0,top
SW7,6.946,26.4728,90.0,top
TP1,30.822,69.588,0.0,top
TP2,30.822,66.554,0.0,top
U1,18.84,-4.0892,180.0,top
U4,18.885601,49.660901,270.0,top
